Algorithm,n,Type,Time_s,Mem_KB
QuickSort,1000,sorted,0.0018402919959044084,25.15625
MergeSort,1000,sorted,0.0021648340043611825,19.59375
QuickSort,1000,reverse,0.0017093339993152767,24.4296875
MergeSort,1000,reverse,0.0021572910045506433,19.59375
QuickSort,1000,random,0.0024698749984963797,35.359375
MergeSort,1000,random,0.002891541997087188,16.84375
QuickSort,5000,sorted,0.00969470799464034,122.828125
MergeSort,5000,sorted,0.01780012500239536,97.71875
QuickSort,5000,reverse,0.009841125000093598,122.9375
MergeSort,5000,reverse,0.018056417000479996,97.71875
QuickSort,5000,random,0.013290041999425739,194.953125
MergeSort,5000,random,0.028258500002266373,81.921875
QuickSort,10000,sorted,0.02025524999771733,243.609375
MergeSort,10000,sorted,0.04026924999925541,195.375
QuickSort,10000,reverse,0.020134792001044843,243.71875
MergeSort,10000,reverse,0.041533084004186094,195.375
QuickSort,10000,random,0.0274555420037359,356.1015625
MergeSort,10000,random,0.06591312499949709,164.9375
QuickSort,100000,sorted,0.22965854100038996,2493.1875
MergeSort,100000,sorted,0.5481989160034573,1953.1875
QuickSort,100000,reverse,0.23066866699809907,2493.2109375
MergeSort,100000,reverse,0.5679765840031905,1953.1875
QuickSort,100000,random,0.3274589169959654,3236.671875
MergeSort,100000,random,0.9650106670014793,1686.34375
