size,input_type,randomized_time,deterministic_time
1000,random,0.0010074170022562612,0.0008628329997009132
1000,sorted,0.0008614170001237653,0.0005385839976952411
1000,reversed,0.0008455829993181396,0.0005362080009945203
1000,repeated,0.00012454099851311184,9.854100062511861e-05
5000,random,0.005556500000238884,0.00490545899810968
5000,sorted,0.0049342080019414425,0.0032151669984159525
5000,reversed,0.00491791699823807,0.003309666000859579
5000,repeated,0.0004637499987438787,0.0005421669993666001
10000,random,0.012024042000120971,0.010383958000602433
10000,sorted,0.01028733299972373,0.006738584001141135
10000,reversed,0.01086070900055347,0.006803833002777537
10000,repeated,0.0009107090008910745,0.0009240830004273448
